# generated by loc_vs_time_to_csv.py on 2019-06-18 23:16:28.833543
,code,comment,blank,files
2011-04-15 09:30:07-04:00,798,622,347,15
2011-07-24 06:57:42-04:00,1717,1083,581,34
2011-08-15 16:38:31-04:00,2748,1196,693,42
2011-08-26 02:01:43+02:00,4135,1409,1093,50
2011-09-05 02:09:30+02:00,2555,1107,610,41
2011-09-25 13:56:50-04:00,5061,1621,1354,54
2011-10-13 12:15:13-03:00,6643,1769,1492,66
2011-11-26 07:06:22-05:00,7335,1933,1651,70
2012-03-06 09:48:33-05:00,8124,2505,1989,77
2012-04-11 16:39:32-04:00,8426,2730,2143,81
2012-06-27 07:44:44-07:00,8792,2993,2237,90
2012-07-17 14:13:57+02:00,9085,2981,2273,90
2012-07-24 15:03:58+02:00,10067,3253,2527,96
2012-08-01 18:34:32+02:00,10493,3624,2651,97
2012-08-09 11:04:38-04:00,10723,3866,2748,101
2012-08-20 12:43:19+02:00,11152,3936,2854,100
2012-08-27 23:45:20+01:00,11540,4094,2969,104
2012-09-06 23:40:43-03:00,11710,4128,3024,107
2012-10-12 11:37:35-07:00,12147,4445,3173,111
2012-11-22 15:11:36+00:00,12378,4553,3267,113
2013-01-16 14:42:38+02:00,12551,4694,3360,116
2013-03-07 11:14:35+00:00,12804,4782,3518,126
2013-04-23 12:40:53+01:00,13047,4857,3566,128
2013-06-12 19:28:02-07:00,13033,4976,3600,130
2013-06-21 23:19:45-04:00,13007,5126,3713,131
2013-07-10 18:13:43+02:00,14218,5799,4121,142
2013-07-30 13:25:02+00:00,13359,5422,3838,134
2013-08-11 01:49:51+02:00,15952,6036,4439,146
2013-08-21 16:56:13+02:00,15848,6394,4600,150
2013-09-10 03:37:27+02:00,16462,6436,4767,153
2013-10-28 04:14:22+01:00,13948,5975,3970,145
2013-11-12 17:42:14+00:00,17206,7043,4975,168
2013-12-11 17:14:49+00:00,17463,6987,5023,170
2013-12-18 13:37:53+00:00,17401,6980,5065,173
2014-01-15 09:37:11-08:00,17876,7508,5319,183
2014-02-05 11:42:02+00:00,17977,7573,5340,186
2014-02-10 17:51:39+00:00,18509,7837,5557,194
2014-02-21 16:05:51+00:00,18623,7906,5587,197
2014-03-22 20:11:52+05:18,18770,7961,5621,199
2014-04-22 00:08:04+01:00,18982,8042,5666,199
2014-04-28 17:40:11+02:00,20171,8549,5756,201
2014-05-14 19:55:48+02:00,20758,8711,5957,209
2014-05-28 12:19:44+01:00,19951,8638,6025,210
2014-06-09 12:51:17+02:00,19403,8282,5826,198
2014-06-13 16:33:27+01:00,20432,8740,5998,209
2014-06-15 22:33:20+02:00,20857,9142,6167,209
2014-07-12 12:24:06+05:18,20643,8770,6089,210
2014-07-18 12:16:27+02:00,20910,9150,6177,209
2014-08-05 19:46:26+02:00,21952,9080,6254,214
2014-08-14 15:04:49+02:00,21232,9136,6227,211
2014-09-28 22:57:01+01:00,21271,8974,6277,213
2014-11-03 17:09:53+00:00,21735,9295,6460,217
2014-12-23 12:59:56+00:00,21659,9153,6406,217
2015-01-22 17:22:03+00:00,22502,9334,6672,225
2015-02-04 11:40:29-05:00,23322,9829,6876,228
2015-02-23 17:56:08+00:00,23883,10220,6957,239
2015-03-11 09:55:14+01:00,23323,10085,6797,225
2015-04-04 06:03:18+05:18,23997,10548,7077,230
2015-05-26 14:47:29+01:00,24952,11013,7456,250
2015-06-11 14:33:41-04:00,24406,10930,7295,235
2015-07-09 22:00:48+01:00,24468,10986,7339,235
2015-07-17 09:45:35-04:00,24491,11120,7385,235
2015-07-31 18:04:59+01:00,24533,11956,7572,237
2015-09-04 11:03:16-04:00,24824,12040,7617,239
2015-10-26 11:34:35+00:00,25468,12170,7824,246
2016-01-11 22:41:26-05:00,25633,12245,7866,247
2016-02-09 00:49:40+00:00,25770,12314,7892,252
2016-03-23 11:43:31-07:00,25838,12352,7907,251
2016-04-18 16:13:02+01:00,26237,12554,8118,250
2016-04-18 16:13:22+01:00,26725,12845,8347,258
2016-04-25 17:25:33+01:00,26760,12878,8378,258
2016-05-19 16:04:13+01:00,26809,12834,8393,260
2016-06-17 10:20:32-04:00,27061,13095,8532,270
2016-08-10 17:37:19+01:00,27161,13130,8564,272
2016-10-13 12:46:00+01:00,28304,13630,8978,293
2016-11-23 17:37:31+00:00,26969,13155,8545,272
2017-01-13 16:24:29+00:00,28356,13735,9065,298
2017-02-10 15:36:58+00:00,31017,15470,10121,316
2017-03-15 19:59:05-04:00,31227,15636,10270,316
2017-05-15 15:13:03+02:00,31251,15655,10278,316
2017-06-02 14:03:19+01:00,31341,15754,10380,320
2017-06-20 11:45:02+02:00,31807,16139,10612,323
2017-07-13 10:07:45+02:00,31917,16326,10714,326
2017-07-18 13:56:30-04:00,32130,16512,10778,326
2017-08-02 11:21:03+01:00,32580,16666,10967,329
2017-08-07 15:00:02+01:00,32875,17059,11168,338
2017-08-10 09:22:48+02:00,32929,17246,11369,340
2017-09-07 10:26:10+01:00,33091,17374,11459,341
2017-11-09 23:14:33+01:00,33717,17810,11807,345
2017-11-20 19:58:21+00:00,33696,17792,11806,345
2017-12-09 21:32:48+00:00,33745,17830,11837,345
2018-01-19 09:54:21+01:00,33903,17947,11915,346
2018-02-28 16:27:11+01:00,34083,17928,11973,349
2018-03-07 12:26:20-05:00,34159,17877,11958,351
2018-03-30 17:45:26-04:00,34088,17842,11906,346
2018-05-01 19:04:09+02:00,34411,18161,12047,350
2018-05-25 11:28:05+05:18,34752,18219,12195,356
2018-06-14 13:48:12-04:00,34244,18169,12087,354
2018-06-22 14:12:33+01:00,30534,16354,10894,323
2018-07-23 20:15:51+01:00,30594,16377,10905,324
2018-09-11 10:09:41+01:00,30925,16683,11046,327
2018-10-16 09:36:57+01:00,31066,16702,11059,330
2018-11-09 11:11:20+00:00,29678,16228,10811,325
2018-12-12 13:00:41-05:00,29284,16265,10774,326
2018-12-21 11:48:02+00:00,29656,16278,10885,341
2019-01-25 16:23:54-05:00,30067,16733,11071,344
2019-03-09 19:46:47+00:00,30046,16654,11015,343
2019-03-20 11:49:13+00:00,30156,16910,11087,341
2019-03-24 20:04:27+05:18,30413,17018,11119,344
2019-04-16 16:30:11+01:00,30081,17034,10979,340
2019-05-02 20:19:58+05:18,29947,16986,10862,338
2019-05-16 10:54:52-04:00,30054,17145,10894,338
2019-06-01 12:13:12+01:00,30906,17521,11064,341
